Ordem;TIPO;Emissão;Data Inicio;Data Término;Médio;Item;Referência;Estabelecimento;Linha;Tipo Controle;Grupo Estoque;Tipo Ordem;Custeio Mat.;Custeio GGF;Custeio MOB;Moeda;Conta Contabil;Centro de Custo;Qtde. Original;Qtde. Produzida;Data;Esp;Tipo Transação;Deposito;Série;Documento;Seq. Operação;Qtde Requisição/Reporte;Rendimentos kg;Rendimentos %;Valor Material;Valor GGF;Valor MOB;Item2;Referencia;Unidade Medida;NMB;Descrição;Preco Fiscal;Data Requisição/Reporte;Funcionário;Centro Custo;Grupo Maq;Hr. Reporte;Tempo Homem/Máquina;GGF/MOB Batch;Mob Dir;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;252,0100;0,0000;0,00%;1.363,2500;0,0000;0,0000;36000348;;KG;3;MERITENA 500;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;ALM;;64555;1;1.248,7530;0,0000;0,00%;0,0700;0,0000;0,0000;45040042;;KG;5;ÁGUA;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;1.248,7530;0,0000;0,00%;0,0700;0,0000;0,0000;45040042;;KG;5;ÁGUA;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;12/03/2024;ACA;Ent;DCQ;;64555;1;12.063,5841;0,0000;0,00%;35.032,0400;23.741,6800;724,7800;26000116;;KG;1;C-2140 BULK;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;12/03/2024;EAC;Sai;DCQ;;64555;1;12.063,5841;0,0000;0,00%;35.032,0400;23.741,6800;724,7800;26000116;;KG;1;C-2140 BULK;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;12/03/2024;DEV;Ent;ALM;;;1;279,4600;0,0000;0,00%;0,0200;0,0000;0,0000;45040042;;KG;5;ÁGUA;0,0000;12/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;12/03/2024;REQ;Sai;ALM;;AJUSTE;1;279,4600;0,0000;0,00%;0,0200;0,0000;0,0000;45040042;;KG;5;ÁGUA;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;GGF;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;12/03/2024;;Rep;;;64555;1;12.063,5841;0,0000;0,00%;0,0000;0,0000;0,0000;;;;0;;0,0000;;0;302200111;WBC11;6,6666;0,0000;4.583,2300;;;
64.555;GGF;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;12/03/2024;;Est;;;64555;1;12.063,5841;0,0000;0,00%;0,0000;0,0000;0,0000;;;;0;;0,0000;;0;302200111;WBC11;6,6666;0,0000;4.583,2300;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;157,0000;0,0000;0,00%;1.962,8400;0,0000;0,0000;30003269;;KG;3;JINHAI JH8152 SIS;0,0000;;;;;0,0000;0,0000;0,0000;;;
