Estabel;Item;Refer;Descrição;Nr Ordem;Data Emissão;Data Término;Estado;Qt Prevista;Qt Produzida;ACA sem REQ;REQ sem ACA;ACA sem GGF;GGF sem ACA;ACA sem MOB;MOB sem ACA;RRQ Sem REQ Item cor.;Restrição GGF/MOB;Últ Movto;Sem movto há 30 dias;Tipo
200;26000522;;C-96 BULK;65976;16/04/2024;22/04/2024;Finalizada;8500;8500;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26000202;;C-33 BULK;65989;16/04/2024;23/04/2024;Finalizada;8500;8493,2;Não;Não;Não;Não;Sim;Não;Não;Não;20/04/2024;Não;Bulk
200;26000973;;R-066 BULK;66000;16/04/2024;24/04/2024;Finalizada;5600;5550;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000110;;C-2111 BULK;66001;16/04/2024;25/04/2024;Finalizada;10000;9982;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000227;;C-353/2 BULK;66003;16/04/2024;20/04/2024;Finalizada;1050;1033,52;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
200;26001101;;C-78AN BULK;66005;16/04/2024;25/04/2024;Finalizada;5000;4903,5;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
200;26000954;;PHC8290/1 BULK;66023;17/04/2024;24/04/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000954;;PHC8290/1 BULK;66025;17/04/2024;24/04/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000941;;LIMPUR BULK;66026;17/04/2024;25/04/2024;Finalizada;800;800;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
200;26000591;;CQ-3022 BULK;66029;17/04/2024;25/04/2024;Finalizada;2796;2796;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000591;;CQ-3022 BULK;66030;17/04/2024;25/04/2024;Finalizada;2796;2796;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000654;;CQ-4141 BULK;66045;17/04/2024;26/04/2024;Finalizada;1805;1805;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
200;26000941;;LIMPUR BULK;66046;17/04/2024;26/04/2024;Finalizada;800;920;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000954;;PHC8290/1 BULK;66053;17/04/2024;25/04/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000954;;PHC8290/1 BULK;66054;17/04/2024;25/04/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000954;;PHC8290/1 BULK;66055;17/04/2024;25/04/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000605;;CQ-3042 BULK;66056;17/04/2024;26/04/2024;Finalizada;2626;2626;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000654;;CQ-4141 BULK;66070;17/04/2024;27/04/2024;Finalizada;1805;1805;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000654;;CQ-4141 BULK;66071;17/04/2024;27/04/2024;Finalizada;1805;1805;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000654;;CQ-4141 BULK;66090;17/04/2024;28/04/2024;Finalizada;1805;1805;Não;Não;Não;Não;Sim;Não;Não;Não;25/04/2024;Não;Bulk
200;26000679;;CQ-4196 BULK;66099;17/04/2024;28/04/2024;Finalizada;5800;5800;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000973;;R-066 BULK;66100;17/04/2024;25/04/2024;Finalizada;5600;5650;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000040;;C-1029/2 BULK;66101;17/04/2024;26/04/2024;Finalizada;2100;2085,58;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000260;;C-384/1 BULK;66102;17/04/2024;26/04/2024;Finalizada;1050;1039,18;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000992;;S-026 BULK;66103;17/04/2024;25/04/2024;Finalizada;1486,5;1486,5;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000138;;C-2172 BULK;66104;17/04/2024;26/04/2024;Finalizada;10000;10135;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000202;;C-33 BULK;66105;17/04/2024;26/04/2024;Finalizada;8500;8518,2;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;16000620;;C-384/1 LQ BAR 50.00 KG;66107;17/04/2024;26/04/2024;Finalizada;1050;1036;Não;Não;Sim;Não;Não;Não;Não;Não;23/04/2024;Não;Finish
200;26000859;;CQ-752 PUR BULK;66116;17/04/2024;27/04/2024;Finalizada;2522,562;2572,56;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000859;;CQ-752 PUR BULK;66119;17/04/2024;28/04/2024;Finalizada;2522,562;2522,562;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
200;26001107;;C-358 BULK;66128;18/04/2024;27/04/2024;Finalizada;2400;2381,48;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000973;;R-066 BULK;66130;18/04/2024;26/04/2024;Finalizada;5600;5660;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000325;;C-513 BULK;66131;18/04/2024;27/04/2024;Finalizada;2000;2035;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26000351;;C-540/2 BULK;66132;18/04/2024;27/04/2024;Finalizada;10000;9717,7;Não;Não;Não;Não;Sim;Não;Não;Não;25/04/2024;Não;Bulk
200;26001004;;S-114/2 BULK;66149;19/04/2024;21/04/2024;Finalizada;1717;1717;Não;Não;Não;Não;Sim;Não;Não;Não;20/04/2024;Não;Bulk
200;26001076;;RESINA R-BASE GXL3 BULK;66153;19/04/2024;22/04/2024;Finalizada;3200;3900;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
200;26000859;;CQ-752 PUR BULK;66201;22/04/2024;29/04/2024;Finalizada;2522,562;2522,562;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
